stop_id,year,average_lateness,stop_lat,stop_lon,cluster,date
6550,2022,648.0756550738447,42.352188,-71.057992,4,2022-01-01
6551,2022,364.89293807087626,42.355286,-71.056411,4,2022-01-01
6555,2022,450.235355743828,42.35068,-71.059655,4,2022-01-01
7542,2022,470.3054467782129,42.437407,-71.035521,4,2022-01-01
8476,2022,375.42735270594505,42.292343,-71.183913,4,2022-01-01
8486,2022,393.97018104366344,42.298252,-71.185078,4,2022-01-01
8495,2022,415.35045317220545,42.312107,-71.196478,4,2022-01-01
8504,2022,416.5976887933351,42.329848,-71.194786,4,2022-01-01
8511,2022,412.71517111290757,42.34502,-71.18996,4,2022-01-01
8815,2022,343.79398610334636,42.365985,-71.185281,4,2022-01-01
8949,2022,426.6869806094183,42.255436,-71.143062,4,2022-01-01
9434,2022,580.3637568642303,42.345304,-71.104558,4,2022-01-01
9441,2022,792.5258620689655,42.343746,-71.102093,4,2022-01-01
10006,2022,599.969801004514,42.335814,-71.070135,4,2022-01-01
10008,2022,567.635508075798,42.339915,-71.064356,4,2022-01-01
10015,2022,414.72335730630925,42.337402,-71.072162,4,2022-01-01
10590,2022,327.3602772608356,42.336621,-71.076956,4,2022-01-01
11241,2022,310.6178722206586,42.330107,-71.062519,4,2022-01-01
11384,2022,395.545531261987,42.347346,-71.075956,4,2022-01-01
11388,2022,354.7379699730527,42.345344,-71.082045,4,2022-01-01
11735,2022,345.7638425617078,42.290104,-71.082689,4,2022-01-01
11771,2022,450.23108925869894,42.36023,-71.094815,4,2022-01-01
11891,2022,337.43719298245617,42.357495,-71.056251,4,2022-01-01
12231,2022,601.8673013405868,42.363253,-71.089678,4,2022-01-01
12352,2022,337.8495991152889,42.405298,-71.164065,4,2022-01-01
13321,2022,651.6941838649155,42.316392,-71.083219,4,2022-01-01
15095,2022,483.7576311137301,42.345582,-71.064848,4,2022-01-01
19031,2022,392.94254113838684,42.355938,-71.185299,4,2022-01-01
21599,2022,425.16564417177915,42.35257,-71.047578,4,2022-01-01
21772,2022,484.57162293488824,42.354929,-71.10512,4,2022-01-01
21773,2022,536.4435170807453,42.360559,-71.093953,4,2022-01-01
22173,2022,475.1248815614933,42.353995,-71.104785,4,2022-01-01
29051,2022,411.50024344837465,42.327382,-71.061681,4,2022-01-01
30009,2022,311.1570117125673,42.327877,-71.067901,4,2022-01-01
30294,2022,407.4486128625473,42.339547,-71.057089,4,2022-01-01
31365,2022,368.11413153262345,42.326625,-71.111437,4,2022-01-01
34579,2022,395.7930773595612,42.363061,-71.088174,4,2022-01-01
36541,2022,440.71567096422734,42.343942,-71.065731,4,2022-01-01
