route_id,month,lateness,size,average_lateness
221,2018-11,277743.0,808,343.74133663366337
221,2018-12,211193.0,777,271.8056628056628
222,2018-08,3145164.0,12546,250.69057867049256
222,2018-09,3767287.0,11525,326.8795661605206
222,2018-10,3747571.0,12809,292.5732687953782
222,2018-11,2875727.0,12094,237.78129651066644
222,2018-12,2585181.0,11838,218.3798783578307
225,2018-08,5741054.0,22134,259.3771573145387
225,2018-09,7123057.0,20568,346.3174348502528
225,2018-10,7241733.0,23169,312.56131037161725
225,2018-11,5926291.0,21628,274.0101257628999
225,2018-12,5164157.0,21215,243.42008013198208
23,2018-08,16346094.0,62069,263.3535903591165
23,2018-09,23896476.0,58925,405.5405345778532
23,2018-10,22756089.0,63173,360.2185902205056
23,2018-11,21854667.0,60109,363.5839391771615
23,2018-12,18286981.0,61902,295.4182578915059
230,2018-08,4885496.0,15451,316.1928677755485
230,2018-09,5554463.0,13139,422.74625161732246
230,2018-10,5525918.0,14627,377.7888835714774
230,2018-11,4927833.0,13870,355.2871665465033
230,2018-12,3881937.0,13472,288.14853028503563
236,2018-08,2115838.0,6859,308.4761627059338
236,2018-09,2877367.0,6357,452.62969954381
236,2018-10,2831410.0,6871,412.08121088633385
236,2018-11,2539052.0,6499,390.68348976765657
236,2018-12,2189663.0,6351,344.7745236970556
238,2018-08,4602291.0,12124,379.6016991092049
238,2018-09,5162594.0,11371,454.0140708820685
238,2018-10,4778302.0,12498,382.3253320531285
238,2018-11,4364248.0,11732,371.99522673031026
238,2018-12,3786288.0,11353,333.50550515282305
24,2018-08,2571036.0,9527,269.8683740946783
24,2018-09,3377415.0,8887,380.03994598852256
24,2018-10,2757515.0,9403,293.25906625545036
24,2018-11,2401308.0,8947,268.3925338102157
24,2018-12,2179195.0,9290,234.57427341227125
240,2018-08,5509841.0,21698,253.93312747718684
240,2018-09,9637293.0,20058,480.4712832784923
240,2018-10,8389929.0,22137,379.00027103943626
240,2018-11,7632579.0,20774,367.4101761817657
240,2018-12,6089933.0,20159,302.0949947914083
245,2018-08,1793977.0,5570,322.07845601436264
245,2018-09,1993493.0,4663,427.5129744799485
245,2018-10,1945852.0,5620,346.23701067615656
245,2018-11,1628074.0,5117,318.16963064295487
245,2018-12,1063172.0,4660,228.14849785407725
26,2018-08,2265319.0,9457,239.53886010362697
26,2018-09,3482579.0,8480,410.6814858490566
26,2018-10,3833697.0,9366,409.3206278026906
26,2018-11,3231705.0,8853,365.04066418163336
26,2018-12,2459783.0,8983,273.8264499610375
27,2018-08,2051854.0,6128,334.8325718015666
27,2018-09,1182850.0,4802,246.3244481466056
27,2018-10,1252287.0,5836,214.57967786154904
27,2018-11,1234598.0,5295,233.16298394711993
27,2018-12,929020.0,4977,186.66264818163552
28,2018-08,7026816.0,59192,118.7122584132991
28,2018-09,12742472.0,60923,209.15700146086044
28,2018-10,10073147.0,64443,156.3109569697252
28,2018-11,9120330.0,60059,151.85617476148454
28,2018-12,8201140.0,62189,131.8744472495136
29,2018-08,5305781.0,15608,339.9398385443362
29,2018-09,7144471.0,13123,544.423607406843
29,2018-10,6963959.0,15518,448.76652919190616
29,2018-11,6051689.0,14154,427.5603363006924
29,2018-12,4730594.0,13123,360.4811399832355
30,2018-08,1178845.0,9598,122.82194207126484
30,2018-09,1769796.0,8819,200.67989567978228
30,2018-10,1678624.0,9673,173.53706192494573
30,2018-11,1682415.0,9125,184.37424657534245
30,2018-12,1494704.0,9077,164.6693841577614
31,2018-08,7788140.0,36980,210.60411032990805
31,2018-09,10754224.0,32291,333.04090923167445
31,2018-10,11354528.0,36255,313.18516066749413
31,2018-11,10103956.0,33800,298.9336094674556
31,2018-12,8449403.0,32444,260.4303723338676
32,2018-08,7595269.0,51206,148.3277155020896
32,2018-09,13159492.0,47811,275.2398402041371
32,2018-10,11796362.0,53102,222.14534292493693
32,2018-11,13677682.0,49991,273.6028885199336
32,2018-12,9204678.0,46368,198.51358695652175
325,2018-08,354172.0,1411,251.0077958894401
325,2018-09,519688.0,1115,466.0878923766816
325,2018-10,756225.0,1323,571.5986394557823
325,2018-11,456591.0,1213,376.4146743610882
325,2018-12,385620.0,1139,338.5601404741001
326,2018-08,696700.0,3020,230.6953642384106
326,2018-09,1256186.0,2485,505.507444668008
326,2018-10,1847955.0,2942,628.1288239292998
326,2018-11,1207525.0,2664,453.2751501501501
326,2018-12,1018468.0,2577,395.21459060923553
33,2018-08,670441.0,5101,131.43324838267006
33,2018-09,1869768.0,4477,417.6385972749609
33,2018-10,1692457.0,5221,324.16337866309135
33,2018-11,1735048.0,4803,361.24255673537374
33,2018-12,1278335.0,4699,272.0440519259417
34,2018-08,2433856.0,21428,113.58297554601457
34,2018-09,3404508.0,20004,170.19136172765448
34,2018-10,3213100.0,22134,145.1658082587874
34,2018-11,3115159.0,20732,150.25848929191588
34,2018-12,2744835.0,20276,135.37359439731702
34E,2018-08,5678940.0,28984,195.9336185481645
34E,2018-09,8754610.0,27041,323.75318960097627
34E,2018-10,8829982.0,29428,300.0537583254044
34E,2018-11,7693162.0,27654,278.1934620669704
34E,2018-12,6955554.0,28286,245.90094039454144
35,2018-08,2494305.0,13179,189.26360118370135
35,2018-09,3323949.0,12129,274.04971555775415
35,2018-10,3520955.0,13385,263.05229734777737
35,2018-11,3456043.0,12607,274.1368287459348
35,2018-12,2977565.0,12391,240.3006214187717
350,2018-08,2156257.0,15723,137.14030401322904
350,2018-09,3071582.0,14669,209.39273297429955
350,2018-10,3788141.0,16255,233.04466318055984
350,2018-11,3625228.0,15295,237.02046420398824
350,2018-12,3114608.0,14945,208.4046838407494
351,2018-08,157553.0,1065,147.93708920187794
351,2018-09,251294.0,847,296.6871310507674
351,2018-10,313798.0,996,315.05823293172693
351,2018-11,238665.0,942,253.35987261146497
351,2018-12,187740.0,923,203.40195016251351
352,2018-08,137183.0,1462,93.83242134062928
352,2018-09,329106.0,1180,278.9033898305085
352,2018-10,518696.0,1476,351.420054200542
352,2018-11,302207.0,1350,223.85703703703703
352,2018-12,225012.0,1259,178.7227958697379
354,2018-08,962989.0,4578,210.3514635211883
354,2018-09,1456108.0,3642,399.8099945085118
354,2018-10,1786660.0,4159,429.58884347198847
354,2018-11,1460257.0,3944,370.2477180527383
354,2018-12,1006046.0,3620,277.91325966850826
36,2018-08,3114784.0,19786,157.42363287172748
36,2018-09,4998183.0,20060,249.16166500498505
36,2018-10,5252086.0,21623,242.8934930398187
36,2018-11,4733291.0,20466,231.2758233167204
36,2018-12,4183875.0,20353,205.56551859676705
37,2018-08,1623750.0,8912,182.19815978456015
37,2018-09,1950440.0,8241,236.67516078145857
37,2018-10,2201248.0,9573,229.94338242975033
37,2018-11,2198951.0,8720,252.17327981651377
37,2018-12,1730175.0,8462,204.4640746868353
38,2018-08,1533576.0,8527,179.8494194910285
38,2018-09,2365167.0,7910,299.00973451327434
38,2018-10,2451285.0,8923,274.71534237364114
38,2018-11,2130382.0,8197,259.8977674759058
38,2018-12,1753128.0,8052,217.725782414307
39,2018-08,11662479.0,62554,186.438581065959
39,2018-09,22781385.0,61282,371.74676087595054
39,2018-10,20311665.0,65298,311.06105853165485
39,2018-11,16690890.0,61540,271.2201819954501
39,2018-12,11206193.0,62348,179.73620645409636
40,2018-08,650284.0,7549,86.14174062789773
40,2018-09,1346257.0,6892,195.336186883343
40,2018-10,1255297.0,7663,163.81273652616468
40,2018-11,971084.0,7143,135.94904101917962
40,2018-12,886523.0,7022,126.24935915693534
41,2018-08,-2007684.0,14370,-139.71356993736953
41,2018-09,870630.0,12890,67.54305663304888
41,2018-10,-391791.0,14297,-27.403721060362315
41,2018-11,-114446.0,13372,-8.558629973078073
41,2018-12,-877953.0,13397,-65.53355228782563
411,2018-08,3055225.0,6721,454.5789317065913
411,2018-09,3618355.0,5573,649.2652072492374
411,2018-10,3816000.0,6503,586.8060894971552
411,2018-11,3443739.0,6018,572.2397806580259
411,2018-12,2684029.0,5742,467.4380006966214
42,2018-08,3034777.0,12279,247.15180389282511
